event,type,num_agents,edge_cost,edge_cost-std,message_count,message_count-std
change_constraint:26-11:0.818;-1.231;-1.237,change_constraint,100,-101927.7230507236,20786.405449879858,55964.0,1791.8325814651323
change_constraint:53-52:4.746;-1.775;2.819,change_constraint,100,-103897.44119208127,19707.47348803928,57064.0,1813.3791660874458
change_constraint:3-4:-0.432;3.388;0.706,change_constraint,100,-103166.96100404681,21470.099692858636,58164.0,1835.283084431391
change_constraint:63-7:0.04;-2.331;3.219,change_constraint,100,-103433.67400487117,21576.984861429646,59264.0,1857.531695557306
change_constraint:54-52:-2.067;4.577;2.225,change_constraint,100,-103115.0193558766,20527.26085535393,60364.0,1880.112762575692
change_constraint:92-17:-0.988;3.312;-0.179,change_constraint,100,-100848.25695878803,20477.107390857942,61464.0,1903.0144508121844
change_constraint:83-70:-4.316;-2.631;2.102,change_constraint,100,-99845.23577103711,20569.186354646896,62564.0,1926.2253243065827
change_constraint:98-87:-2.258;0.843;-4.776,change_constraint,100,-99775.35436355625,21642.195359341305,63664.0,1949.7343408782644
change_constraint:59-47:-1.539;-4.496;-2.136,change_constraint,100,-100331.89768093328,21746.986557682194,64764.0,1973.5308459712505
remove_agent:69,remove_agent,99,-97690.05389637563,21404.807574655624,65840.0,1992.736811523288
remove_agent:5,remove_agent,98,-98056.41472122524,23913.57379639098,66898.0,2014.124127257305
remove_agent:6,remove_agent,97,-97038.21952994278,22043.065226803377,67930.0,2034.7678000204348
remove_agent:33,remove_agent,96,-93264.17814962476,21022.00151810433,68940.0,2047.7109170974306
remove_agent:15,remove_agent,95,-89355.08944137357,21643.173757800338,69924.0,2055.3695531461003
remove_agent:13,remove_agent,94,-87821.52635355665,21064.9643729231,70894.0,2064.0019379835862
remove_agent:86,remove_agent,93,-88382.73220980124,21412.520080968567,71846.0,2075.4623581264973
remove_agent:81,remove_agent,92,-84783.95217775018,22164.996270223874,72776.0,2083.666000106543
remove_agent:93,remove_agent,91,-83975.73428907257,23376.828224859208,73684.0,2091.263732770212
remove_agent:84,remove_agent,90,-83359.86404647886,24440.61819532275,74576.0,2099.176981581115
