event,type,num_agents,edge_cost,edge_cost-std,message_count,message_count-std
add_agent:31,add_agent,32,-27219.96200776167,7571.066114919128,5410.0,163.4625339336204
add_agent:32,add_agent,33,-27099.54452575629,7671.650923958197,5764.0,179.06423428479513
add_agent:33,add_agent,34,-27728.687512379685,9522.149815891864,6130.0,196.67231630303235
add_agent:34,add_agent,35,-27337.326034524496,10315.864976825682,6508.0,216.46246787838302
add_agent:35,add_agent,36,-26722.788103095787,11099.232106247631,6898.0,238.69645996537108
add_agent:36,add_agent,37,-28774.19787397443,10825.35647752997,7300.0,263.66645596283195
add_agent:37,add_agent,38,-29218.05748352543,9886.205092212218,7712.0,289.1643131508451
add_agent:38,add_agent,39,-32850.16111067902,12030.707642099953,8138.0,318.3331588132157
add_agent:39,add_agent,40,-33689.93295196346,12437.361149456794,8576.0,348.5742388645495
add_agent:40,add_agent,41,-33404.53254157775,12870.72458131169,9024.0,379.0831043452082
add_agent:41,add_agent,42,-35007.8602129682,12467.355357497574,9482.0,409.7999511957023
add_agent:42,add_agent,43,-37388.4485336159,11975.847399179816,9950.0,440.6812907306141
add_agent:43,add_agent,44,-37984.11207133588,11740.316500251376,10430.0,468.78566530985137
add_agent:44,add_agent,45,-39030.600072148736,11658.27068140511,10922.0,494.2226219023164
add_agent:45,add_agent,46,-41064.622542207835,10421.728468178886,11424.0,519.9076841132471
add_agent:46,add_agent,47,-42288.91541575405,8900.45135561104,11936.0,545.8058262789066
add_agent:47,add_agent,48,-42169.866169386914,8418.74373569272,12458.0,571.888100942833
add_agent:48,add_agent,49,-43600.67358873463,7501.066713980849,12990.0,598.1304205605998
add_agent:49,add_agent,50,-44426.36873516535,7372.267392069104,13532.0,624.5126099607597
add_agent:50,add_agent,51,-45311.908405361246,6713.839691490115,14084.0,651.0176648908998
add_agent:51,add_agent,52,-46987.052679764296,7351.956142113044,14646.0,677.6311681143363
add_agent:52,add_agent,53,-46843.797990365165,7692.606534148651,15218.0,704.3408265889462
add_agent:53,add_agent,54,-47547.61987640677,8260.479903322566,15800.0,731.1361022408892
add_agent:54,add_agent,55,-48261.45308222262,9965.720580928362,16392.0,758.0079155259529
add_agent:55,add_agent,56,-48944.07238281156,10489.710533495541,16994.0,784.948405947805
add_agent:56,add_agent,57,-50361.6165104697,11777.82559450134,17606.0,811.9507374219202
add_agent:57,add_agent,58,-50224.34009701974,12398.723801694265,18232.0,842.8855201034124
add_agent:58,add_agent,59,-50698.73520688775,14148.087279965752,18870.0,877.108887197023
add_agent:59,add_agent,60,-52565.93610714087,15005.771949934493,19518.0,911.4252574950949
add_agent:60,add_agent,61,-54404.4578310712,15121.537260140047,20176.0,945.8245080351851
add_agent:61,add_agent,62,-55768.71320833908,13674.246340784546,20844.0,980.2979139016874
add_agent:62,add_agent,63,-55703.030496246334,14223.291240112609,21522.0,1014.8379180933279
add_agent:63,add_agent,64,-56104.04863587123,14121.968416661271,22210.0,1049.4379448066475
add_agent:64,add_agent,65,-56960.11317617714,14450.15917529197,22908.0,1084.0922469974591
add_agent:65,add_agent,66,-59392.50241667846,13647.443998644418,23616.0,1118.7957811861822
add_agent:66,add_agent,67,-60881.64266794617,13215.088058049363,24334.0,1153.5441040549772
add_agent:67,add_agent,68,-60936.23457358591,13963.140776366334,25062.0,1188.3332865825143
add_agent:68,add_agent,69,-62718.453599865126,13982.408458337779,25800.0,1223.1598423754763
add_agent:69,add_agent,70,-63255.602416454916,12558.64264551878,26548.0,1258.0206675567774
add_agent:70,add_agent,71,-64766.49339235287,12889.07232138505,27306.0,1292.9129901118636
add_agent:71,add_agent,72,-66597.5481782427,14417.907942077,28074.0,1327.8343270152343
add_agent:72,add_agent,73,-70698.7829523197,14181.714406197088,28852.0,1362.7824477883476
add_agent:73,add_agent,74,-72528.38427012599,14892.328579086488,29640.0,1397.7553433988367
add_agent:74,add_agent,75,-72630.53856470968,15008.705136727403,30438.0,1432.7511996156206
add_agent:75,add_agent,76,-73581.40196739827,14025.721403219975,31248.0,1467.7929009230152
add_agent:76,add_agent,77,-73368.20765310779,13684.654330442554,32070.0,1506.200517859425
add_agent:77,add_agent,78,-74070.27003069401,15107.314750907233,32904.0,1547.9870800494427
add_agent:78,add_agent,79,-76246.40852771836,16880.08312668206,33748.0,1589.7974713780368
add_agent:79,add_agent,80,-76905.38115184114,17237.771354837925,34604.0,1635.0119265620053
add_agent:80,add_agent,81,-76358.15437139201,17072.609934345248,35470.0,1680.2618843501748
add_agent:81,add_agent,82,-77807.14860532146,18001.45995152226,36348.0,1726.1680103628385
add_agent:82,add_agent,83,-75871.35404766949,17818.571989242562,37240.0,1772.704149033335
add_agent:83,add_agent,84,-75839.66180434148,17391.047939863463,38142.0,1819.2459976594698
add_agent:84,add_agent,85,-77066.53530186097,18448.395297288855,39060.0,1867.1261339288249
add_agent:85,add_agent,86,-78023.76587657577,18327.164584737722,39988.0,1915.008093977673
add_agent:86,add_agent,87,-79239.26932640185,17375.748247585754,40928.0,1966.2899074144686
add_agent:87,add_agent,88,-79898.42240094436,18496.275234391003,41878.0,2017.5767643388442
add_agent:88,add_agent,89,-81239.47335538521,16643.07275247383,42842.0,2067.5144497681267
add_agent:89,add_agent,90,-81011.65628761463,16594.981912837342,43816.0,2117.456965324207
add_agent:90,add_agent,91,-81596.85504767191,16461.705539702543,44802.0,2165.4505304901336
add_agent:91,add_agent,92,-81143.36466453114,15511.840038082095,45800.0,2216.8716697183895
add_agent:92,add_agent,93,-82103.18048385307,14364.83320555973,46808.0,2268.315674680224
add_agent:93,add_agent,94,-83082.33263067462,14483.86634661956,47826.0,2319.7810241486154
add_agent:94,add_agent,95,-83830.07930796528,14996.85449499168,48856.0,2369.199020766301
add_agent:95,add_agent,96,-84904.69375559155,15839.620358859482,49900.0,2417.1719012101726
add_agent:96,add_agent,97,-86101.46878317627,15695.591909806431,50954.0,2465.1620636380076
add_agent:97,add_agent,98,-86432.57870833427,16778.96869494927,52018.0,2513.1685180265968
add_agent:98,add_agent,99,-86590.13236494357,15774.403322850232,53094.0,2559.285837885249
add_agent:99,add_agent,100,-88634.11334408341,16233.11872162493,54182.0,2605.3283862116114
change_constraint:28-75:2.269;-1.025;0.276,change_constraint,100,-89566.89446330555,14180.251324192854,55270.0,2651.377000729998
change_constraint:38-6:-2.419;-2.256;-2.599,change_constraint,100,-92047.81244344162,11651.01814088069,56358.0,2697.4313707673823
change_constraint:32-29:4.218;-3.022;3.446,change_constraint,100,-93379.34475711771,10110.252210119057,57446.0,2743.49120647397
change_constraint:86-84:-1.187;-4.215;4.546,change_constraint,100,-94811.74223107872,11429.859549238172,58534.0,2789.556237110125
change_constraint:80-75:-1.676;4.947;2.335,change_constraint,100,-92924.9236799552,12944.434401364713,59622.0,2835.6262094994113
change_constraint:72-71:-1.669;1.163;-3.575,change_constraint,100,-92663.67677316014,11623.828335269342,60710.0,2881.7008866292836
change_constraint:12-7:-1.117;-4.476;-1.671,change_constraint,100,-93474.13585064157,11431.767670223044,61798.0,2927.780046383266
change_constraint:76-71:-3.52;1.335;-2.753,change_constraint,100,-92625.86288267413,12058.482395605002,62886.0,2973.86348039045
change_constraint:26-28:-3.419;2.786;3.5,change_constraint,100,-91127.77916915607,12035.066765804577,63974.0,3019.950992979853
change_constraint:88-96:-2.378;2.719;-2.291,change_constraint,100,-91817.97629589598,13272.625174389734,65062.0,3066.0424002286727
remove_agent:40,remove_agent,99,-91443.36473667625,15526.668928582145,66130.0,3100.5870411907486
remove_agent:85,remove_agent,98,-91281.6186846463,16448.230078879795,67174.0,3132.76618980734
remove_agent:12,remove_agent,97,-91334.87287075215,16847.067243261943,68204.0,3166.9771075901385
remove_agent:13,remove_agent,96,-91692.17460475913,17257.480681401634,69224.0,3201.2347617755245
remove_agent:62,remove_agent,95,-90705.52621394247,18250.725098926414,70226.0,3225.260299572734
remove_agent:58,remove_agent,94,-92059.6648638875,17229.08641652085,71210.0,3238.3020242096013
remove_agent:91,remove_agent,93,-91012.51629725026,15744.698620317098,72176.0,3255.0121351540306
remove_agent:89,remove_agent,92,-88378.38507015925,14891.796586022065,73114.0,3267.5838168285754
remove_agent:41,remove_agent,91,-85801.82803021345,14914.789928062377,74030.0,3281.2619523591834
remove_agent:95,remove_agent,90,-79716.558532842,13890.175869529587,74920.0,3281.2619523591834
